# Class,ClassFullyQualified Removed, ClassFullyQualified New
ViewPropertyAnimatorListenerAdapter,AndroidX.CustomView.View.ViewPropertyAnimatorListenerAdapter,AndroidX.Core.View.ViewPropertyAnimatorListenerAdapter
ViewPropertyAnimatorUpdateEventArgs,AndroidX.CustomView.View.ViewPropertyAnimatorUpdateEventArgs,AndroidX.Core.View.ViewPropertyAnimatorUpdateEventArgs
WindowCompat,AndroidX.CustomView.View.WindowCompat,AndroidX.Core.View.WindowCompat
WindowInsetsCompat,AndroidX.CustomView.View.WindowInsetsCompat,AndroidX.Core.View.WindowInsetsCompat
CircularProgressDrawable,AndroidX.Core.Widget.CircularProgressDrawable,AndroidX.SwipeRefreshLayout.Widget.CircularProgressDrawable
CursorAdapter,AndroidX.Core.Widget.CursorAdapter,AndroidX.CursorAdapter.Widget.CursorAdapter
CursorFilter,AndroidX.Core.Widget.CursorFilter,AndroidX.CursorAdapter.Widget.CursorFilter
CursorFilterICursorFilterClientExtensions,AndroidX.Core.Widget.CursorFilterICursorFilterClientExtensions,AndroidX.CursorAdapter.Widget.CursorFilterICursorFilterClientExtensions
DirectedAcyclicGraph,AndroidX.Core.Widget.DirectedAcyclicGraph,AndroidX.CoordinatorLayout.Widget.DirectedAcyclicGraph
DrawerLayout,AndroidX.Core.Widget.DrawerLayout,AndroidX.DrawerLayout.Widget.DrawerLayout
ExploreByTouchHelper,AndroidX.Core.Widget.ExploreByTouchHelper,AndroidX.CustomView.Widget.ExploreByTouchHelper
ResourceCursorAdapter,AndroidX.Core.Widget.ResourceCursorAdapter,AndroidX.CursorAdapter.Widget.ResourceCursorAdapter
SimpleCursorAdapter,AndroidX.Core.Widget.SimpleCursorAdapter,AndroidX.CursorAdapter.Widget.SimpleCursorAdapter
SimpleCursorAdapterICursorToStringConverterExtensions,AndroidX.Core.Widget.SimpleCursorAdapterICursorToStringConverterExtensions,AndroidX.CursorAdapter.Widget.SimpleCursorAdapterICursorToStringConverterExtensions
SlidingPaneLayout,AndroidX.Core.Widget.SlidingPaneLayout,AndroidX.SlidingPaneLayout.Widget.SlidingPaneLayout
SwipeRefreshLayout,AndroidX.Core.Widget.SwipeRefreshLayout,AndroidX.SwipeRefreshLayout.Widget.SwipeRefreshLayout
ViewDragHelper,AndroidX.Core.Widget.ViewDragHelper,AndroidX.CustomView.Widget.ViewDragHelper
ViewGroupUtils,AndroidX.Core.Widget.ViewGroupUtils,AndroidX.CoordinatorLayout.Widget.ViewGroupUtils
MediaRouteActionProvider,AndroidX.AppCompat.App.MediaRouteActionProvider,AndroidX.MediaRouter.App.MediaRouteActionProvider
MediaRouteButton,AndroidX.AppCompat.App.MediaRouteButton,AndroidX.MediaRouter.App.MediaRouteButton
MediaRouteChooserDialog,AndroidX.AppCompat.App.MediaRouteChooserDialog,AndroidX.MediaRouter.App.MediaRouteChooserDialog
MediaRouteChooserDialogFragment,AndroidX.AppCompat.App.MediaRouteChooserDialogFragment,AndroidX.MediaRouter.App.MediaRouteChooserDialogFragment
MediaRouteControllerDialog,AndroidX.AppCompat.App.MediaRouteControllerDialog,AndroidX.MediaRouter.App.MediaRouteControllerDialog
MediaRouteControllerDialogFragment,AndroidX.AppCompat.App.MediaRouteControllerDialogFragment,AndroidX.MediaRouter.App.MediaRouteControllerDialogFragment
MediaRouteDevicePickerDialog,AndroidX.AppCompat.App.MediaRouteDevicePickerDialog,AndroidX.MediaRouter.App.MediaRouteDevicePickerDialog
MediaRouteDialogFactory,AndroidX.AppCompat.App.MediaRouteDialogFactory,AndroidX.MediaRouter.App.MediaRouteDialogFactory
MediaRouteDiscoveryFragment,AndroidX.AppCompat.App.MediaRouteDiscoveryFragment,AndroidX.MediaRouter.App.MediaRouteDiscoveryFragment
CardView,AndroidX.AppCompat.Widget.CardView,AndroidX.CardView.Widget.CardView
DefaultItemAnimator,AndroidX.AppCompat.Widget.DefaultItemAnimator,AndroidX.RecyclerView.Widget.DefaultItemAnimator
DividerItemDecoration,AndroidX.AppCompat.Widget.DividerItemDecoration,AndroidX.RecyclerView.Widget.DividerItemDecoration
GridLayout,AndroidX.AppCompat.Widget.GridLayout,AndroidX.GridLayout.Widget.GridLayout
GridLayoutManager,AndroidX.AppCompat.Widget.GridLayoutManager,AndroidX.RecyclerView.Widget.GridLayoutManager
ICardViewDelegate,AndroidX.AppCompat.Widget.ICardViewDelegate,AndroidX.CardView.Widget.ICardViewDelegate
LayoutState,AndroidX.AppCompat.Widget.LayoutState,AndroidX.RecyclerView.Widget.LayoutState
LinearLayoutManager,AndroidX.AppCompat.Widget.LinearLayoutManager,AndroidX.RecyclerView.Widget.LinearLayoutManager
LinearSmoothScroller,AndroidX.AppCompat.Widget.LinearSmoothScroller,AndroidX.RecyclerView.Widget.LinearSmoothScroller
