HolderFragment,AndroidX.Lifecycle.HolderFragment
AppComponentFactory,AndroidX.Legacy.App.AppComponentFactory
AppLaunchChecker,AndroidX.Legacy.App.AppLaunchChecker
AppOpsManagerCompat,AndroidX.Legacy.App.AppOpsManagerCompat
BundleCompat,AndroidX.Legacy.App.BundleCompat
CoreComponentFactory,AndroidX.Legacy.App.CoreComponentFactory
DialogFragment,AndroidX.Legacy.App.DialogFragment
Fragment,AndroidX.Legacy.App.Fragment
FragmentActivity,AndroidX.Legacy.App.FragmentActivity
FragmentContainer,AndroidX.Legacy.App.FragmentContainer
FragmentController,AndroidX.Legacy.App.FragmentController
FragmentHostCallback,AndroidX.Legacy.App.FragmentHostCallback
FragmentManager,AndroidX.Legacy.App.FragmentManager
FragmentManagerNonConfig,AndroidX.Legacy.App.FragmentManagerNonConfig
FragmentPagerAdapter,AndroidX.Legacy.App.FragmentPagerAdapter
FragmentStatePagerAdapter,AndroidX.Legacy.App.FragmentStatePagerAdapter
FragmentTabHost,AndroidX.Legacy.App.FragmentTabHost
FragmentTransaction,AndroidX.Legacy.App.FragmentTransaction
FragmentTransitionImpl,AndroidX.Legacy.App.FragmentTransitionImpl
FrameMetricsAggregator,AndroidX.Legacy.App.FrameMetricsAggregator
INotificationBuilderWithBuilderAccessor,AndroidX.Legacy.App.INotificationBuilderWithBuilderAccessor
INotificationSideChannel,AndroidX.Legacy.App.INotificationSideChannel
JobIntentService,AndroidX.Legacy.App.JobIntentService
ListFragment,AndroidX.Legacy.App.ListFragment
LoaderManager,AndroidX.Legacy.App.LoaderManager
NavUtils,AndroidX.Legacy.App.NavUtils
NotificationCompat,AndroidX.Legacy.App.NotificationCompat
NotificationCompatExtras,AndroidX.Legacy.App.NotificationCompatExtras
NotificationCompatSideChannelService,AndroidX.Legacy.App.NotificationCompatSideChannelService
NotificationManagerCompat,AndroidX.Legacy.App.NotificationManagerCompat
NotificationSideChannelStub,AndroidX.Legacy.App.NotificationSideChannelStub
Person,AndroidX.Legacy.App.Person
RemoteInput,AndroidX.Legacy.App.RemoteInput
ServiceCompat,AndroidX.Legacy.App.ServiceCompat
ShareCompat,AndroidX.Legacy.App.ShareCompat
SharedElementCallback,AndroidX.Legacy.App.SharedElementCallback
SupportActivity,AndroidX.Legacy.App.SupportActivity
TaskStackBuilder,AndroidX.Legacy.App.TaskStackBuilder
PackageInfoCompat,AndroidX.Loader.Content.PM.PackageInfoCompat
PermissionInfoCompat,AndroidX.Loader.Content.PM.PermissionInfoCompat
ShortcutInfoCompat,AndroidX.Loader.Content.PM.ShortcutInfoCompat
ShortcutManagerCompat,AndroidX.Loader.Content.PM.ShortcutManagerCompat
ColorStateListInflaterCompat,AndroidX.Loader.Content.Res.ColorStateListInflaterCompat
ComplexColorCompat,AndroidX.Loader.Content.Res.ComplexColorCompat
ConfigurationHelper,AndroidX.Loader.Content.Res.ConfigurationHelper
FontResourcesParserCompat,AndroidX.Loader.Content.Res.FontResourcesParserCompat
ResourcesCompat,AndroidX.Loader.Content.Res.ResourcesCompat
TypedArrayUtils,AndroidX.Loader.Content.Res.TypedArrayUtils
SQLiteCursorCompat,AndroidX.Core.Database.Sqlite.SQLiteCursorCompat
AccessibilityEventCompat,AndroidX.CustomView.View.Accessibility.AccessibilityEventCompat
AccessibilityManagerCompat,AndroidX.CustomView.View.Accessibility.AccessibilityManagerCompat
AccessibilityNodeInfoCompat,AndroidX.CustomView.View.Accessibility.AccessibilityNodeInfoCompat
AccessibilityNodeProviderCompat,AndroidX.CustomView.View.Accessibility.AccessibilityNodeProviderCompat
AccessibilityRecordCompat,AndroidX.CustomView.View.Accessibility.AccessibilityRecordCompat
AccessibilityWindowInfoCompat,AndroidX.CustomView.View.Accessibility.AccessibilityWindowInfoCompat
FastOutLinearInInterpolator,AndroidX.CustomView.View.Animation.FastOutLinearInInterpolator
FastOutSlowInInterpolator,AndroidX.CustomView.View.Animation.FastOutSlowInInterpolator
LinearOutSlowInInterpolator,AndroidX.CustomView.View.Animation.LinearOutSlowInInterpolator
LookupTableInterpolator,AndroidX.CustomView.View.Animation.LookupTableInterpolator
PathInterpolatorCompat,AndroidX.CustomView.View.Animation.PathInterpolatorCompat
AnimatedStateListDrawableCompat,AndroidX.Palette.Graphics.Drawable.AnimatedStateListDrawableCompat
DrawableWrapper,AndroidX.Palette.Graphics.Drawable.DrawableWrapper
DrawerArrowDrawable,AndroidX.Palette.Graphics.Drawable.DrawerArrowDrawable
AbstractMultiSelectListPreference,Android.Support.V7.Preference.Internal.AbstractMultiSelectListPreference
AndroidResources,AndroidX.Preference.AndroidResources
CheckBoxPreference,AndroidX.Preference.CheckBoxPreference
DialogPreference,AndroidX.Preference.DialogPreference
DialogPreferenceITargetFragmentExtensions,AndroidX.Preference.DialogPreferenceITargetFragmentExtensions
DropDownPreference,AndroidX.Preference.DropDownPreference
EditTextPreference,AndroidX.Preference.EditTextPreference
EditTextPreferenceDialogFragmentCompat,AndroidX.Preference.EditTextPreferenceDialogFragmentCompat
