FontRes,android.support.annotation.FontRes,androidx.annotation.FontRes,,,android.support.annotation,androidx.annotation,,
FractionRes,android.support.annotation.FractionRes,androidx.annotation.FractionRes,,,android.support.annotation,androidx.annotation,,
GuardedBy,android.support.annotation.GuardedBy,androidx.annotation.GuardedBy,,,android.support.annotation,androidx.annotation,,
HalfFloat,android.support.annotation.HalfFloat,androidx.annotation.HalfFloat,,,android.support.annotation,androidx.annotation,,
IdRes,android.support.annotation.IdRes,androidx.annotation.IdRes,,,android.support.annotation,androidx.annotation,,
IntDef,android.support.annotation.IntDef,androidx.annotation.IntDef,,,android.support.annotation,androidx.annotation,,
IntegerRes,android.support.annotation.IntegerRes,androidx.annotation.IntegerRes,,,android.support.annotation,androidx.annotation,,
InterpolatorRes,android.support.annotation.InterpolatorRes,androidx.annotation.InterpolatorRes,,,android.support.annotation,androidx.annotation,,
IntRange,android.support.annotation.IntRange,androidx.annotation.IntRange,,,android.support.annotation,androidx.annotation,,
Keep,android.support.annotation.Keep,androidx.annotation.Keep,,,android.support.annotation,androidx.annotation,,
LayoutRes,android.support.annotation.LayoutRes,androidx.annotation.LayoutRes,,,android.support.annotation,androidx.annotation,,
LongDef,android.support.annotation.LongDef,androidx.annotation.LongDef,,,android.support.annotation,androidx.annotation,,
MainThread,android.support.annotation.MainThread,androidx.annotation.MainThread,,,android.support.annotation,androidx.annotation,,
MenuRes,android.support.annotation.MenuRes,androidx.annotation.MenuRes,,,android.support.annotation,androidx.annotation,,
NavigationRes,android.support.annotation.NavigationRes,androidx.annotation.NavigationRes,,,android.support.annotation,androidx.annotation,,
NonNull,android.support.annotation.NonNull,androidx.annotation.NonNull,,,android.support.annotation,androidx.annotation,,
Nullable,android.support.annotation.Nullable,androidx.annotation.Nullable,,,android.support.annotation,androidx.annotation,,
PluralsRes,android.support.annotation.PluralsRes,androidx.annotation.PluralsRes,,,android.support.annotation,androidx.annotation,,
Px,android.support.annotation.Px,androidx.annotation.Px,,,android.support.annotation,androidx.annotation,,
RawRes,android.support.annotation.RawRes,androidx.annotation.RawRes,,,android.support.annotation,androidx.annotation,,
RequiresApi,android.support.annotation.RequiresApi,androidx.annotation.RequiresApi,,,android.support.annotation,androidx.annotation,,
RequiresFeature,android.support.annotation.RequiresFeature,androidx.annotation.RequiresFeature,,,android.support.annotation,androidx.annotation,,
RequiresPermission,android.support.annotation.RequiresPermission,androidx.annotation.RequiresPermission,,,android.support.annotation,androidx.annotation,,
RestrictTo,android.support.annotation.RestrictTo,androidx.annotation.RestrictTo,,,android.support.annotation,androidx.annotation,,
Size,android.support.annotation.Size,androidx.annotation.Size,,,android.support.annotation,androidx.annotation,,
