HolderFragment                            ,android.arch.lifecycle.HolderFragment                                                     ,androidx.lifecycle.HolderFragment                                                              ,  ,  ,android.arch.lifecycle                                    ,androidx.lifecycle,  ,
NavigationMenuItemView                    ,android.support.design.internal.NavigationMenuItemView                                    ,com.google.android.material.internal.NavigationMenuItemView                                    ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
NavigationMenuView                        ,android.support.design.internal.NavigationMenuView                                        ,com.google.android.material.internal.NavigationMenuView                                        ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
NavigationSubMenu                         ,android.support.design.internal.NavigationSubMenu                                         ,com.google.android.material.internal.NavigationSubMenu                                         ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
ParcelableSparseArray                     ,android.support.design.internal.ParcelableSparseArray                                     ,com.google.android.material.internal.ParcelableSparseArray                                     ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
ScrimInsetsFrameLayout                    ,android.support.design.internal.ScrimInsetsFrameLayout                                    ,com.google.android.material.internal.ScrimInsetsFrameLayout                                    ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
TextScale                                 ,android.support.design.internal.TextScale                                                 ,com.google.android.material.internal.TextScale                                                 ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
ThemeEnforcement                          ,android.support.design.internal.ThemeEnforcement                                          ,com.google.android.material.internal.ThemeEnforcement                                          ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
ViewUtils                                 ,android.support.design.internal.ViewUtils                                                 ,com.google.android.material.internal.ViewUtils                                                 ,  ,  ,android.support.design.internal                           ,com.google.android.material.internal,  ,
MaterialResources                         ,android.support.design.resources.MaterialResources                                        ,com.google.android.material.resources.MaterialResources                                        ,  ,  ,android.support.design.resources                          ,com.google.android.material.resources,  ,
TextAppearance                            ,android.support.design.resources.TextAppearance                                           ,com.google.android.material.resources.TextAppearance                                           ,  ,  ,android.support.design.resources                          ,com.google.android.material.resources,  ,
TextAppearanceConfig                      ,android.support.design.resources.TextAppearanceConfig                                     ,com.google.android.material.resources.TextAppearanceConfig                                     ,  ,  ,android.support.design.resources                          ,com.google.android.material.resources,  ,
RippleUtils                               ,android.support.design.ripple.RippleUtils                                                 ,com.google.android.material.ripple.RippleUtils                                                 ,  ,  ,android.support.design.ripple                             ,com.google.android.material.ripple,  ,
CornerTreatment                           ,android.support.design.shape.CornerTreatment                                              ,com.google.android.material.shape.CornerTreatment                                              ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
CutCornerTreatment                        ,android.support.design.shape.CutCornerTreatment                                           ,com.google.android.material.shape.CutCornerTreatment                                           ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
EdgeTreatment                             ,android.support.design.shape.EdgeTreatment                                                ,com.google.android.material.shape.EdgeTreatment                                                ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
InterpolateOnScrollPositionChangeHelper   ,android.support.design.shape.InterpolateOnScrollPositionChangeHelper                      ,com.google.android.material.shape.InterpolateOnScrollPositionChangeHelper                      ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
MaterialShapeDrawable                     ,android.support.design.shape.MaterialShapeDrawable                                        ,com.google.android.material.shape.MaterialShapeDrawable                                        ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
RoundedCornerTreatment                    ,android.support.design.shape.RoundedCornerTreatment                                       ,com.google.android.material.shape.RoundedCornerTreatment                                       ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
ShapePath                                 ,android.support.design.shape.ShapePath                                                    ,com.google.android.material.shape.ShapePath                                                    ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
ShapePathModel                            ,android.support.design.shape.ShapePathModel                                               ,com.google.android.material.shape.ShapePathModel                                               ,  ,  ,android.support.design.shape                              ,com.google.android.material.shape,  ,
